Rank,RatingTomatometer,Title,No..of.Reviews,year,html_suffix
3,98%,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003),138,2003,/m/the_fog_of_war_eleven_lessons_from_the_life_of_robert_s_mcnamara/
4,95%,Lost In Translation (2003),223,2003,/m/lost_in_translation/
5,97%,Capturing the Friedmans (2003),147,2003,/m/capturing_the_friedmans/
6,99%,Bus 174 (�nibus 174) (2003),76,2003,/m/bus_174/
7,96%,Winged Migration (2003),132,2003,/m/winged_migration/
8,95%,The Station Agent (2003),154,2003,/m/station_agent/
9,97%,Sweet Sixteen (2003),87,2003,/m/sweet_sixteen/
10,94%,American Splendor (2003),181,2003,/m/american_splendor/
11,98%,Chavez: Inside the Coup (2003),48,2003,/m/chavez_inside_the_coup/
12,96%,Raising Victor Vargas (2003),107,2003,/m/raising_victor_vargas/
13,97%,To Be and to Have (Etre et Avoir) (2003),59,2003,/m/to_be_and_to_have/
14,96%,Festival Express (2003),79,2003,/m/festival_express/
15,94%,The Triplets of Belleville (2003),141,2003,/m/the_triplets_of_belleville/
16,94%,Dirty Pretty Things (2003),139,2003,/m/dirty_pretty_things/
17,92%,School of Rock (2003),192,2003,/m/school_of_rock/
18,95%,"Spring, Summer, Fall, Winter...and Spring (2003)",95,2003,/m/spring_summer_fall_winterand_spring/
19,95%,The Return (Vozvrashcheniye) (2003),85,2003,/m/1130023-return/
20,94%,Lost in La Mancha (2003),99,2003,/m/lost_in_la_mancha/
21,95%,The Best of Youth (La meglio gioventù) (2003),62,2003,/m/best_of_youth/
22,95%,Los Angeles Plays Itself (2003),43,2003,/m/los_angeles_plays_itself/
23,91%,Shattered Glass (2003),166,2003,/m/shattered_glass/
24,94%,Alien Saga (2003),49,2003,/m/alien_saga_2003/
25,92%,The Man on the Train (2003),111,2003,/m/the_man_on_the_train/
26,90%,Cidade de Deus (City of God) (2003),156,2003,/m/city_of_god/
27,90%,The Magdalene Sisters (2003),147,2003,/m/magdalene_sisters/
28,92%,Saraband (2003),83,2003,/m/saraband/
29,90%,Whale Rider (2003),146,2003,/m/whale_rider/
30,89%,In America (2003),173,2003,/m/in_america/
31,91%,Baadasssss! (2003),107,2003,/m/baadasssss/
32,87%,28 Days Later (2003),219,2003,/m/28_days_later/
33,87%,Far From Heaven (2003),211,2003,/m/far_from_heaven/
34,88%,A Mighty Wind (2003),173,2003,/m/mighty_wind/
35,86%,X2: X-Men United (2003),235,2003,/m/x2_xmen_united/
36,91%,Stevie (2003),75,2003,/m/stevie/
37,87%,Mystic River (2003),195,2003,/m/mystic_river/
38,90%,Io non ho paura (I'm Not Scared) (2003),98,2003,/m/im_not_scared/
39,88%,Freaky Friday (2003),148,2003,/m/freaky_friday/
40,85%,Kill Bill: Volume 1 (2003),225,2003,/m/kill_bill_vol_1/
41,87%,The Quiet American (2003),151,2003,/m/1118347-quiet_american/
42,85%,Master and Commander: The Far Side of the World (2003),211,2003,/m/master_and_commander_the_far_side_of_the_world/
43,89%,Tokyo Godfathers (2003),65,2003,/m/tokyo_godfathers/
44,89%,In This World (2003),63,2003,/m/in_this_world/
45,88%,The Cuckoo (2003),64,2003,/m/the_cuckoo_2003/
46,84%,Elf (2003),188,2003,/m/elf/
47,86%,Zatôichi (The Blind Swordsman: Zatoichi) (2003),123,2003,/m/zatoichi_2003/
48,88%,The Five Obstructions (2003),59,2003,/m/five_obstructions/
49,88%,The Son (2003),57,2003,/m/the_son_2003/
50,85%,Bend It like Beckham (2003),150,2003,/m/bend_it_like_beckham/
51,88%,Yossi & Jagger (2003),42,2003,/m/yossi_and_jagger/
52,86%,Intimate Strangers (2003),102,2003,/m/intimate_strangers_2003/
53,87%,Lilja 4-ever (2003),67,2003,/m/lilja_4_ever/
54,87%,Dracula: Pages From a Virgin's Diary (2003),60,2003,/m/dracula_pages_from_a_virgins_diary/
55,84%,Swimming Pool (2003),151,2003,/m/swimming_pool/
56,87%,Noi the Albino (Nói albínói) (2003),53,2003,/m/noi-the-albino/
57,84%,Pieces of April (2003),147,2003,/m/pieces_of_april/
58,87%,Ten (2003),52,2003,/m/ten/
59,85%,The Secret Lives of Dentists (2003),95,2003,/m/secret_lives_of_dentists/
60,82%,Matchstick Men (2003),182,2003,/m/matchstick_men/
61,86%,Tibet: Cry of the Snow Lion (2003),49,2003,/m/tibet_cry_of_the_snow_lion/
62,85%,Monsieur Ibrahim et les fleurs du Coran (Monsieur Ibrahim) (2003),80,2003,/m/monsieur_ibrahim/
63,85%,A Tale of Two Sisters (2003),59,2003,/m/a_tale_of_two_sisters/
64,85%,Chaos (2003),52,2003,/m/chaos2001/
65,84%,Gloomy Sunday (2003),64,2003,/m/gloomy_sunday/
66,81%,Thirteen (2003),150,2003,/m/thirteen/
67,80%,21 Grams (2003),178,2003,/m/21_grams/
68,79%,Pirates of the Caribbean: The Curse of the Black Pearl (2003),209,2003,/m/pirates_of_the_caribbean_the_curse_of_the_black_pearl/
69,81%,The Barbarian Invasions (Les Invasions barbares) (2003),130,2003,/m/barbarian_invasions/
70,78%,Bad Santa (2003),213,2003,/m/bad_santa/
71,79%,Open Range (2003),179,2003,/m/open_range/
72,83%,Bukowski: Born into This (2003),48,2003,/m/bukowski_born_into_this/
73,82%,Step Into Liquid (2003),79,2003,/m/step_into_liquid/
74,83%,Chihwaseon (2003),40,2003,/m/chihwaseon/
75,82%,Stone Reader (2003),65,2003,/m/stone_reader/
76,79%,Confessions of a Dangerous Mind (2003),159,2003,/m/confessions_of_a_dangerous_mind/
77,82%,Amandla! A Revolution in Four-Part Harmony (2003),61,2003,/m/amandla_a_revolution_in_four_part_harmony/
78,77%,Big Fish (2003),214,2003,/m/1127787-big_fish/
79,81%,Blue Car (2003),85,2003,/m/blue_car/
80,82%,Charlotte Sometimes (2003),44,2003,/m/charlotte_sometimes/
81,77%,Seabiscuit (2003),201,2003,/m/seabiscuit/
82,78%,25th Hour (2003),166,2003,/m/25th_hour/
83,80%,Ghosts of the Abyss (2003),100,2003,/m/ghosts_of_the_abyss/
84,81%,Divine Intervention (2003),68,2003,/m/divine_intervention_2003/
85,80%,I Capture the Castle (2003),82,2003,/m/i_capture_the_castle/
86,78%,The Good Thief (2003),143,2003,/m/good_thief/
87,77%,The Cooler (2003),171,2003,/m/cooler/
88,79%,Bubba Ho-Tep (2003),104,2003,/m/bubba_ho_tep/
89,80%,Mondays in the Sun (Los Lunes al sol) (2003),69,2003,/m/mondays_in_the_sun/
90,79%,Owning Mahowny (2003),94,2003,/m/owning_mahowny/
91,77%,Peter Pan (2003),141,2003,/m/1128577-peter_pan/
92,77%,Holes (2003),133,2003,/m/holes/
93,78%,Tupac: Resurrection (2003),88,2003,/m/tupac_resurrection/
94,75%,Intolerable Cruelty (2003),180,2003,/m/intolerable_cruelty/
95,79%,Friday Night (2003),53,2003,/m/friday_night/
96,75%,House of Sand and Fog (2003),177,2003,/m/house_of_sand_and_fog/
97,73%,The Matrix Reloaded (2003),238,2003,/m/matrix_reloaded/
98,79%,Stoked: The Rise and Fall of Gator (2003),47,2003,/m/stoked_the_rise_and_fall_of_gator/
99,77%,L'Auberge Espagnole (2003),91,2003,/m/lauberge_espagnole/
100,77%,Une femme de ménage (2003),60,2003,/m/une_femme_de_menage/
1,97%,The Incredibles (2004),233,2004,/m/incredibles/
2,96%,Sideways (2004),223,2004,/m/sideways/
3,97%,Maria Full of Grace (2004),139,2004,/m/maria_full_of_grace/
4,95%,Hero (2004),200,2004,/m/hero/
5,99%,Moolaad� (2004),73,2004,/m/moolaade/
6,93%,Spider-Man 2 (2004),261,2004,/m/spiderman_2/
7,99%,The Twilight Samurai (Tasogare Seibei) (2004),68,2004,/m/twilight_samurai/
8,95%,Before Sunset (2004),171,2004,/m/before_sunset/
9,93%,Eternal Sunshine Of The Spotless Mind (2004),234,2004,/m/eternal_sunshine_of_the_spotless_mind/
10,98%,Since Otar Left (2004),55,2004,/m/since_otar_left/
11,98%,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (2004),53,2004,/m/the_umbrellas_of_cherbourg_2004/
12,96%,Control Room (2004),109,2004,/m/control_room/
13,96%,Born Into Brothels (2004),106,2004,/m/born_into_brothels/
14,96%,Osama (2004),102,2004,/m/osama/
15,91%,Million Dollar Baby (2004),253,2004,/m/million_dollar_baby/
16,91%,Harry Potter and the Prisoner of Azkaban (2004),250,2004,/m/harry_potter_and_the_prisoner_of_azkaban/
17,93%,Super Size Me (2004),170,2004,/m/super_size_me/
18,92%,Shaun of the Dead (2004),201,2004,/m/shaun_of_the_dead/
19,96%,Plagues & Pleasures on the Salton Sea (2004),48,2004,/m/plagues_and_pleasures_on_the_salton_sea/
20,96%,Lost Boys of Sudan (2004),45,2004,/m/lost_boys_of_sudan/
21,93%,Touching the Void (2004),138,2004,/m/touching_the_void/
22,94%,The Story of the Weeping Camel (2004),102,2004,/m/the_story_of_the_weeping_camel/
23,95%,End of the Century: The Story of the Ramones (2004),62,2004,/m/end_of_the_century_the_story_of_the_ramones/
24,92%,Vera Drake (2004),157,2004,/m/vera_drake/
25,94%,The Agronomist (2004),71,2004,/m/agronomist/
26,90%,Kinsey (2004),194,2004,/m/kinsey/
27,93%,Riding Giants (2004),95,2004,/m/riding_giants/
28,90%,Hotel Rwanda (2004),189,2004,/m/hotel_rwanda/
29,93%,Nobody Knows (Dare mo shiranai) (2004),92,2004,/m/nobody_knows/
30,93%,My Architect (2004),91,2004,/m/my_architect/
31,88%,Shrek 2 (2004),233,2004,/m/shrek_2/
32,91%,Downfall (Der Untergang) (2004),136,2004,/m/downfall/
33,92%,Tarnation (2004),102,2004,/m/tarnation/
34,91%,Shaolin Soccer (2004),90,2004,/m/shaolin_soccer/
35,90%,Mean Creek (2004),120,2004,/m/mean_creek/
36,87%,The Aviator (2004),213,2004,/m/aviator/
37,92%,La demoiselle d'honneur (The Bridesmaid) (2004),51,2004,/m/the-bridesmaid/
38,90%,The Corporation (2004),110,2004,/m/corporation/
39,90%,"Good Bye, Lenin! (2004)",107,2004,/m/good_bye_lenin/
40,88%,House of Flying Daggers (2004),167,2004,/m/house_of_flying_daggers/
41,86%,Collateral (2004),228,2004,/m/collateral/
42,89%,Metallica: Some Kind of Monster (2004),122,2004,/m/metallica_some_kind_of_monster/
43,90%,My Summer of Love (2004),87,2004,/m/my_summer_of_love/
44,91%,Donnie Darko: The Director's Cut (2004),43,2004,/m/donnie_darko_the_directors_cut/
45,88%,Bad Education (2004),137,2004,/m/bad_education/
46,90%,Dig! (2004),69,2004,/m/dig/
47,88%,The Woodsman (2004),130,2004,/m/woodsman/
48,86%,Garden State (2004),188,2004,/m/garden_state/
49,89%,Going Upriver: The Long War of John Kerry (2004),83,2004,/m/going_upriver_the_long_war_of_john_kerry/
50,89%,Kitchen Stories (2004),75,2004,/m/kitchen_stories/
51,89%,Brothers (2004),72,2004,/m/brothers_2004/
52,90%,Last Life in the Universe (2004),40,2004,/m/last_life_in_the_universe/
53,90%,James' Journey to Jerusalem (2004),40,2004,/m/james_journey_to_jerusalem/
54,84%,Kill Bill: Volume 2 (2004),230,2004,/m/kill_bill_volume_2/
55,83%,Fahrenheit 9/11 (2004),229,2004,/m/fahrenheit_911/
56,87%,3-Iron (2004),90,2004,/m/3_iron/
57,88%,Touch The Sound (2004),50,2004,/m/touch-the-sound/
58,87%,Mayor of the Sunset Strip (2004),76,2004,/m/1126416-mayor_of_the_sunset_strip/
59,83%,Finding Neverland (2004),202,2004,/m/finding_neverland/
60,88%,Uzak (Distant) (2004),43,2004,/m/distant/
61,87%,Lightning in a Bottle (2004),63,2004,/m/1136293-lightning_in_a_bottle/
62,84%,The Motorcycle Diaries (2004),154,2004,/m/the_motorcycle_diaries/
63,83%,Mean Girls (2004),175,2004,/m/mean_girls/
64,86%,Wilbur Wants to Kill Himself (2004),79,2004,/m/wilbur_wants_to_kill_himself/
65,87%,Guerrilla: The Taking of Patty Hearst (2004),46,2004,/m/guerrilla_the_taking_of_patty_hearst/
66,86%,Crimson Gold (2004),73,2004,/m/crimson_gold/
67,83%,In Good Company (2004),167,2004,/m/in_good_company/
68,84%,The Sea Inside (Mar Adentro) (The Sea Within) (2004),131,2004,/m/sea_inside/
69,86%,Aileen: Life and Death of a Serial Killer (2004),58,2004,/m/aileen_life_and_death_of_a_serial_killer/
70,82%,Monster (2004),184,2004,/m/1128647-monster/
71,86%,Bright Leaves (2004),57,2004,/m/bright_leaves/
72,81%,The Manchurian Candidate (2004),201,2004,/m/manchurian_candidate/
73,81%,Ray (2004),198,2004,/m/ray/
74,81%,Hellboy (2004),198,2004,/m/hellboy/
75,81%,The Bourne Supremacy (2004),190,2004,/m/bourne_supremacy/
76,85%,Outfoxed: Rupert Murdoch's War on Journalism (2004),59,2004,/m/outfoxed_rupert_murdochs_war_on_journalism/
77,84%,The Yes Men (2004),83,2004,/m/yes_men/
78,81%,Friday Night Lights (2004),169,2004,/m/friday_night_lights/
79,83%,Red Lights (2004),86,2004,/m/red_lights/
80,83%,Up and Down (Horem Pádem) (Loop the Loop) (2004),66,2004,/m/up_and_down/
81,83%,Somersault (2004),64,2004,/m/somersault/
82,80%,Miracle (2004),158,2004,/m/miracle/
83,83%,Broadway: The Golden Age (2004),46,2004,/m/broadway_the_golden_age/
84,77%,Team America: World Police (2004),194,2004,/m/team_america_world_police/
85,78%,A Very Long Engagement (2004),144,2004,/m/a_very_long_engagement_2004/
86,75%,Crash (2004),227,2004,/m/1144992-crash/
87,78%,Two Brothers (2004),114,2004,/m/two_brothers/
88,77%,The Machinist (2004),141,2004,/m/machinist/
89,79%,American Experience (2004),76,2004,/m/daughter_from_danang/
90,80%,Tae Guk Gi: The Brotherhood of War (2004),41,2004,/m/tae_guk_gi_the_brotherhood_of_war/
91,78%,The Saddest Music in the World (2004),101,2004,/m/saddest_music_in_the_world/
92,78%,The Mother (2004),89,2004,/m/1132642-mother/
93,75%,Dawn of the Dead (2004),182,2004,/m/dawn_of_the_dead/
94,78%,Overnight (2004),77,2004,/m/overnight/
95,76%,Being Julia (2004),123,2004,/m/being_julia/
96,77%,It's All Gone Pete Tong (2004),70,2004,/m/its_all_gone_pete_tong/
97,76%,Bon Voyage (2004),95,2004,/m/bon_voyage_2004/
98,74%,Harold & Kumar Go to White Castle (2004),147,2004,/m/harold_and_kumar_go_to_white_castle/
99,72%,Sky Captain and the World of Tomorrow (2004),208,2004,/m/sky_captain/
100,77%,Uncovered: The War on Iraq (2004),48,2004,/m/1135882-uncovered_the_war_on_iraq/
1,98%,Murderball (2005),138,2005,/m/murderball/
2,95%,Wallace & Gromit: The Curse of the Were-Rabbit (2005),176,2005,/m/wallace_and_gromit_curse_of_the_wererabbit/
3,97%,Enron: The Smartest Guys in the Room (2005),117,2005,/m/enron_the_smartest_guys_in_the_room/
4,93%,"Good Night, And Good Luck (2005)",216,2005,/m/1152019-good_night_and_good_luck/
5,94%,March of the Penguins (2005),180,2005,/m/march_of_the_penguins/
6,95%,The Wild Parrots of Telegraph Hill (2005),98,2005,/m/wild_parrots_of_telegraph_hill/
7,93%,The Squid and the Whale (2005),141,2005,/m/squid_and_the_whale/
8,88%,Harry Potter and the Goblet of Fire (2005),246,2005,/m/harry_potter_and_the_goblet_of_fire/
9,92%,Grizzly Man (2005),137,2005,/m/grizzly_man/
10,90%,Capote (2005),183,2005,/m/1151898-capote/
11,90%,Kung Fu Hustle (2005),182,2005,/m/kung_fu_hustle/
12,94%,Ushpizin (2005),62,2005,/m/ushpizin/
13,87%,Brokeback Mountain (2005),235,2005,/m/brokeback_mountain/
14,93%,Duma (2005),61,2005,/m/duma/
15,93%,Travelers and Magicians (2005),59,2005,/m/travelers_and_magicians/
16,88%,Broken Flowers (2005),187,2005,/m/broken_flowers/
17,87%,A History of Violence (2005),207,2005,/m/history_of_violence/
18,90%,Tristram Shandy: A Cock & Bull Story (2005),124,2005,/m/tristram_shandy_a_cock_and_bull_story/
19,91%,Water (2005),90,2005,/m/water/
20,84%,Batman Begins (2005),268,2005,/m/batman_begins/
21,89%,Cach� (2005),131,2005,/m/cache_2005/
22,92%,Up for Grabs (2005),48,2005,/m/up_for_grabs/
23,84%,King Kong (2005),258,2005,/m/king_kong/
24,87%,Howl's Moving Castle (2005),172,2005,/m/howls_moving_castle/
25,91%,Ballets Russes (2005),58,2005,/m/1167811-ballets_russes/
26,90%,Head-On (2005),83,2005,/m/head_on_2005/
27,91%,Darwin's Nightmare (2005),53,2005,/m/1159353-darwins_nightmare/
28,87%,Millions (2005),159,2005,/m/millions/
29,91%,After Innocence (2005),46,2005,/m/after_innocence/
30,89%,Paradise Now (2005),100,2005,/m/paradise_now/
31,90%,New York Doll (2005),51,2005,/m/new_york_doll/
32,85%,The 40 Year Old Virgin (2005),181,2005,/m/40_year_old_virgin/
33,85%,Pride and Prejudice (2005),171,2005,/m/1153077-1153077-pride_and_prejudice/
34,85%,"Kiss Kiss, Bang Bang (2005)",171,2005,/m/kiss_kiss_bang_bang/
35,83%,Charlie and the Chocolate Factory (2005),221,2005,/m/charlie_and_the_chocolate_factory/
36,89%,Tony Takitani (2005),53,2005,/m/tony_takitani/
37,84%,The Constant Gardener (2005),184,2005,/m/constant_gardener/
38,86%,Junebug (2005),129,2005,/m/junebug/
39,88%,Turtles Can Fly (2005),72,2005,/m/turtles_can_fly/
40,87%,Look at Me (2005),98,2005,/m/look_at_me/
41,86%,The Proposition (2005),124,2005,/m/proposition/
42,88%,Tell Them Who You Are (2005),64,2005,/m/tell_them_who_you_are/
43,88%,Rois et Reine (Kings and Queen) (2005),56,2005,/m/rois_et_reine/
44,87%,Saving Face (2005),83,2005,/m/saving_face/
45,88%,The Cave of the Yellow Dog (Die Hohle des gelben Hundes) (2005),51,2005,/m/cave_of_the_yellow_dog/
46,83%,Tim Burton's Corpse Bride (2005),187,2005,/m/corpse_bride/
47,86%,Ong-Bak (Ong Bak: Muay Thai Warrior) (2005),105,2005,/m/ongbak/
48,88%,Shake Hands with the Devil: The Journey of Romeo Dallaire (2005),49,2005,/m/shake_hands_with_the_devil_the_journey_of_romeo_dallaire/
49,86%,The Heart of the Game (2005),96,2005,/m/the-heart-of-the-game/
50,88%,The Syrian Bride (2005),41,2005,/m/1153719-syrian_bride/
51,82%,Walk the Line (2005),204,2005,/m/walk_the_line/
52,79%,Star Wars: Episode III - Revenge of the Sith (2005),284,2005,/m/star_wars_episode_iii_revenge_of_the_sith/
53,85%,2046 (2005),114,2005,/m/2046/
54,85%,Gunner Palace (2005),104,2005,/m/gunner_palace/
55,85%,Mysterious Skin (2005),104,2005,/m/mysterious_skin/
56,82%,Serenity (2005),180,2005,/m/serenity/
57,85%,De Battre mon Coeur s'est Arrêté (The Beat That My Heart Skipped) (2005),96,2005,/m/beat_that_my_heart_skipped/
58,84%,Mad Hot Ballroom (2005),117,2005,/m/mad_hot_ballroom/
59,86%,Three Times (Zui hao de shi guang) (2005),50,2005,/m/three_times/
60,82%,Hustle & Flow (2005),155,2005,/m/hustle_and_flow/
61,80%,Cinderella Man (2005),209,2005,/m/cinderella_man/
62,83%,Inside Deep Throat (2005),120,2005,/m/inside_deep_throat/
63,84%,Rize (2005),91,2005,/m/rize/
64,82%,The World's Fastest Indian (2005),140,2005,/m/worlds_fastest_indian/
65,78%,Sin City (2005),245,2005,/m/sin_city/
66,85%,The Perfect Crime (El Crimen Perfecto)(Crimen ferpecto) (2005),53,2005,/m/the_perfect_crime_2005/
67,85%,La Moustache (2005),41,2005,/m/moustache/
68,84%,De zaak Alzheimer (The Memory of a Killer) (2005),67,2005,/m/de_zaak_alzheimer/
69,84%,13 Tzameti (2005),67,2005,/m/13_tzameti/
70,84%,Beyond the Gates (2005),62,2005,/m/beyond_the_gates/
71,84%,Three...Extremes (Saam gaang yi) (2005),62,2005,/m/threeextremes/
72,84%,Aliens of the Deep (2005),61,2005,/m/aliens_of_the_deep/
73,81%,Layer Cake (2005),135,2005,/m/layer_cake/
74,79%,Red Eye (2005),186,2005,/m/1149496-1149496-red_eye/
75,78%,Munich (2005),202,2005,/m/munich/
76,81%,Me and You and Everyone We Know (2005),111,2005,/m/me_and_you_and_everyone_we_know/
77,81%,Dear Frankie (2005),110,2005,/m/dear_frankie/
78,80%,Oldboy (2005),133,2005,/m/oldboy/
79,82%,Rock School (2005),77,2005,/m/rock_school/
80,83%,Lost Embrace (2005),48,2005,/m/lost_embrace/
81,77%,Match Point (2005),210,2005,/m/match_point/
82,83%,The Warrior (2005),42,2005,/m/1147812-warrior/
83,79%,The Aristocrats (2005),149,2005,/m/aristocrats/
84,82%,Control (2005),66,2005,/m/kontroll/
85,82%,Keane (2005),61,2005,/m/keane/
86,76%,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe (2005)",210,2005,/m/chronicles_of_narnia_lion_witch_wardrobe/
87,74%,War of the Worlds (2005),251,2005,/m/war_of_the_worlds/
88,79%,Pooh's Heffalump Movie (2005),86,2005,/m/poohs_heffalump_movie/
89,77%,The Sisterhood of the Traveling Pants (2005),129,2005,/m/sisterhood_of_the_traveling_pants/
90,75%,Wedding Crashers (2005),182,2005,/m/wedding_crashers/
91,75%,In Her Shoes (2005),163,2005,/m/in_her_shoes/
92,75%,Zathura (2005),158,2005,/m/zathura/
93,74%,The Upside of Anger (2005),181,2005,/m/upside_of_anger/
94,78%,CSA: The Confederate States of America (2005),65,2005,/m/csa_the_confederate_states_of_america/
95,77%,The Beautiful Country (2005),75,2005,/m/beautiful_country/
96,73%,Land of the Dead (2005),172,2005,/m/land_of_the_dead/
97,77%,Balzac and the Little Chinese Seamstress (2005),62,2005,/m/balzac_and_the_little_chinese_seamstress/
98,72%,Syriana (2005),192,2005,/m/syriana/
99,77%,The Puffy Chair (2005),52,2005,/m/the_puffy_chair/
100,76%,The Holy Girl (2005),58,2005,/m/the_holy_girl/
1,95%,Casino Royale (2006),246,2006,/m/casino_royale/
2,97%,The Queen (2006),186,2006,/m/queen/
3,95%,Pan's Labyrinth (2006),225,2006,/m/pans_labyrinth/
4,100%,Deliver Us from Evil (2006),73,2006,/m/deliver_us_from_evil/
5,92%,Children of Men (2006),238,2006,/m/children_of_men/
6,91%,The Departed (2006),264,2006,/m/departed/
7,98%,The War Tapes (2006),64,2006,/m/war_tapes/
8,98%,Mountain Patrol: Kekexili (2006),49,2006,/m/mountain-patrol-kekexili/
9,98%,Blindsight (2006),49,2006,/m/blindsight/
10,95%,Wordplay (2006),121,2006,/m/wordplay/
11,91%,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),215,2006,/m/borat/
12,93%,An Inconvenient Truth (2006),159,2006,/m/inconvenient_truth/
13,91%,Little Miss Sunshine (2006),210,2006,/m/little_miss_sunshine/
14,93%,The Lives of Others (2006),153,2006,/m/the_lives_of_others/
15,91%,United 93 (2006),204,2006,/m/united_93/
16,91%,Letters from Iwo Jima (2006),197,2006,/m/letters_from_iwo_jima/
17,95%,Offside (2006),83,2006,/m/offside/
18,96%,Deep Water (2006),55,2006,/m/10008507-deep_water/
19,94%,Ne le Dis � Personne (Tell No One) (2006),108,2006,/m/ne_le_dis_a_personne/
20,92%,Volver (2006),161,2006,/m/volver/
21,95%,49 Up (2006),65,2006,/m/49_up/
22,92%,Dave Chappelle's Block Party (2006),125,2006,/m/block_party/
23,94%,American Experience (2006),50,2006,/m/jonestown_the_life_and_death_of_peoples_temple/
24,90%,Half Nelson (2006),155,2006,/m/half_nelson/
25,93%,The Death of Mr. Lazarescu (2006),74,2006,/m/the_death_of_mr_lazarescu/
26,93%,Lassie (2006),68,2006,/m/lassie/
27,93%,Brand Upon the Brain! (2006),56,2006,/m/brand_upon_the_brain/
28,93%,Blame It on Fidel (La Faute a Fidel) (2006),45,2006,/m/blame_it_on_fidel/
29,89%,Venus (2006),150,2006,/m/venus/
30,87%,Inside Man (2006),200,2006,/m/inside_man/
31,92%,Fateless (2006),63,2006,/m/1153570-fateless/
32,92%,Still Life (Sanxia Haoren) (2006),48,2006,/m/sanxia-haoren-still-life/
33,87%,The Last King of Scotland (2006),181,2006,/m/last_king_of_scotland/
34,90%,Neil Young: Heart of Gold (2006),98,2006,/m/heart_of_gold/
35,91%,Iraq in Fragments (2006),65,2006,/m/iraq_in_fragments/
36,87%,Notes on a Scandal (2006),171,2006,/m/notes_on_a_scandal/
37,89%,The Devil and Daniel Johnston (2006),106,2006,/m/1158179-devil_and_daniel_johnston/
38,90%,Starter for 10 (2006),77,2006,/m/starter_for_ten/
39,90%,Duck Season (Temporada de patos) (2006),73,2006,/m/duck_season_2006/
40,86%,Thank You for Smoking (2006),179,2006,/m/thank_you_for_smoking/
41,88%,Dixie Chicks - Shut Up and Sing (2006),123,2006,/m/dixie_chicks_shut_up_and_sing/
42,88%,Who Killed the Electric Car? (2006),104,2006,/m/who_killed_the_electric_car/
43,88%,Efter brylluppet (After the Wedding) (2006),104,2006,/m/after_the_wedding/
44,90%,What She Knew (2006),50,2006,/m/what_she_knew/
45,87%,The Namesake (2006),127,2006,/m/namesake/
46,85%,The Descent (2006),171,2006,/m/descent/
47,86%,Slither (2006),136,2006,/m/slither/
48,88%,Reprise (2006),80,2006,/m/1196293-reprise/
49,89%,Sir! No Sir! (2006),53,2006,/m/sir_no_sir/
50,87%,Jesus Camp (2006),101,2006,/m/jesus_camp/
51,89%,El Aura (The Aura) (2006),46,2006,/m/el_aura/
52,87%,Sophie Scholl: The Final Days (2006),95,2006,/m/sophie_scholl_die_letzten_tage/
53,85%,The Three Burials of Melquiades Estrada (2006),140,2006,/m/three_burials_of_melquiades_estrada/
54,86%,L'Enfant (2006),106,2006,/m/lenfant_2006/
55,88%,Mutual Appreciation (2006),51,2006,/m/mutual_appreciation/
56,88%,Maxed Out (2006),48,2006,/m/maxed-out/
57,88%,Man Push Cart (2006),48,2006,/m/man_push_cart/
58,86%,The Road To Guantanamo (2006),95,2006,/m/road_to_guantanamo/
59,86%,Quinceañera (2006),95,2006,/m/quinceanera/
60,84%,Akeelah and the Bee (2006),137,2006,/m/akeelah_and_the_bee/
61,87%,The Beauty Academy of Kabul (2006),54,2006,/m/the_beauty_academy_of_kabul_2006/
62,87%,The Ground Truth (2006),47,2006,/m/the_ground_truth/
63,84%,This Film Is Not Yet Rated (2006),117,2006,/m/this_film_is_not_yet_rated/
64,85%,Old Joy (2006),86,2006,/m/old_joy/
65,81%,A Prairie Home Companion (2006),191,2006,/m/prairie_home_companion/
66,85%,Sweet Land (2006),72,2006,/m/sweet_land/
67,86%,Kráska v Nesnázích (Beauty in Trouble) (2006),43,2006,/m/kraska-v-nesnazich-beauty-in-trouble/
68,85%,Air Guitar Nation (2006),65,2006,/m/air_guitar_nation/
69,84%,Paprika (2006),85,2006,/m/paprika/
70,85%,Bamako (2006),55,2006,/m/bamako_2007/
71,82%,Tsotsi (Thug) (2006),128,2006,/m/tsotsi/
72,80%,Little Children (2006),159,2006,/m/little_children/
73,84%,Independent Lens (2006),50,2006,/m/10006485-black_gold/
74,76%,Superman Returns (2006),258,2006,/m/superman_returns/
75,78%,Dreamgirls (2006),200,2006,/m/dreamgirls/
76,80%,Brick (2006),138,2006,/m/brick/
77,83%,The Year My Parents Went on Vacation (O Ano em Que Meus Pais Saíram de Férias) (2006),53,2006,/m/the_year_my_parents_went_on_vacation/
78,83%,Come Early Morning (2006),48,2006,/m/come_early_morning/
79,82%,Once in a Lifetime: The Extraordinary Story of the New York Cosmos (2006),60,2006,/m/10006849-once_in_a_lifetime/
80,81%,Sketches of Frank Gehry (2006),78,2006,/m/sketches_of_frank_gehry/
81,81%,Priceless (2006),73,2006,/m/priceless/
82,78%,Charlotte's Web (2006),143,2006,/m/charlottes_web/
83,81%,Fong juk (Exiled) (2006),62,2006,/m/exiled/
